Intensity,HKL,G-vector Length
0.008092645,-9 3 -7,1.5254806277560944
0.00013285034,-9 5 -6,1.5445199902126474
0.0025702794,-9 6 -5,1.5496258600676565
0.00015233367,-8 -2 -10,1.535864432497205
0.012035841,-8 -1 -9,1.4683989369816965
0.0008515226,-8 1 -8,1.4153253835099378
0.00073320454,-8 2 -7,1.3783128799825595
0.001335542,-8 3 -6,1.354419099923274
0.00043436268,-8 5 -5,1.3824231708612469
0.0010531122,-8 6 -4,1.394662359585455
0.001972922,-8 7 -3,1.420273431543293
0.0010440402,-8 9 -2,1.5243069138016048
0.0019758404,-7 -3 -10,1.4416345300048778
0.00013490577,-7 -2 -9,1.3622454697722315
0.0051256856,-7 -1 -8,1.2927565783705914
0.0063274577,-7 2 -6,1.2046382720109305
0.0020672986,-7 3 -5,1.1849257518473855
0.0052056867,-7 6 -3,1.2454171489403822
0.0016911458,-7 7 -2,1.2811511877466062
0.0014658435,-7 10 0,1.4681431283627955
0.0010319322,-6 -6 -11,1.5063994425642475
0.00072764157,-6 -5 -10,1.4019801280537698
0.0010320605,-6 -2 -8,1.1894468762396455
0.001220618,-6 -1 -7,1.1173547736901557
0.0010181769,-6 2 -5,1.0318906551749667
0.010923129,-6 3 -4,1.0177843401828743
0.015558135,-6 6 -2,1.1042113199389825
0.00936322,-6 7 -1,1.1522838617101236
0.0018437738,-6 10 1,1.3704878021814544
2.6042686e-05,-5 -7 -11,1.4695505757405636
0.00022373431,-5 -6 -10,1.3549814066077728
0.00096943957,-5 -5 -9,1.245180540740588
0.002414247,-5 -2 -7,1.0178865405602981
0.0053522023,-5 -1 -6,0.9423278602653091
0.022693157,-5 3 -3,0.8543763078574712
0.0104246605,-5 7 0,1.0374997911454868
0.015521526,-5 10 2,1.2896772360066253
0.0007262128,-4 -6 -9,1.2103503337975985
0.00029978956,-4 -5 -8,1.0943668787004932
0.012755131,-4 -1 -5,0.7679322162486025
0.03157922,-4 0 -4,0.7056230527769202
0.0051726853,-4 3 -2,0.6973311797927275
0.06635374,-4 7 1,0.9419615288707601
0.0029406464,-3 -10 -11,1.5334154973287122
0.008617476,-3 -9 -10,1.401733273492101
0.004482632,-3 -5 -7,0.9523870735843563
0.009174718,-3 -1 -4,0.5947234381198228
0.051125847,-3 0 -3,0.5292172895826902
0.022535268,-3 7 2,0.8720178975768951
0.003610932,-2 -10 -10,1.431865417037837
0.0053391727,-2 -9 -9,1.2968895955178354
0.026129397,-2 -5 -6,0.823821216794497
0.34878653,-2 0 -2,0.3528115263884601
0.0007882047,-1 -10 -9,1.3458647941551538
0.016630007,-1 -9 -8,1.2088122527862737
2.2426155,-1 0 -1,0.17640576319423004
0.021736493,0 -9 -7,1.1413892800382848
0.014834539,1 -9 -6,1.09843065382512
2.2563434,1 0 1,0.17640576319423004
1.2065187,1 4 4,0.5813155172986482
0.16279486,1 7 6,0.9355692634673062
0.008367484,1 11 9,1.4330559961572567
0.022801667,2 -4 -1,0.5172652041541522
0.35611016,2 0 2,0.3528115263884601
0.62036425,2 4 5,0.6970355205290971
0.029818993,2 7 7,1.0293704247976205
0.005524518,2 10 9,1.3788201105395168
0.013706499,2 11 10,1.5141125847136339
0.009029934,3 -9 -4,1.0958214664553005
0.06713864,3 -4 0,0.6071115642999008
0.050456807,3 0 3,0.5292172895826902
0.08554069,3 4 6,0.8342824999259072
0.013064479,3 7 8,1.142871420032712
0.013053223,3 10 10,1.4778631015706296
0.0064470205,4 -9 -3,1.1363622040306711
0.086056605,4 -4 1,0.729276078149411
0.034364287,4 0 4,0.7056230527769202
0.019005204,4 3 6,0.8816651757445855
0.012968302,4 4 7,0.9840904679257141
0.01162679,4 7 9,1.2708047373941516
0.013881346,5 -9 -2,1.2016869050343022
0.03880872,5 -5 1,0.9070980302855244
0.016201098,5 -4 2,0.8702532570416365
0.009458286,5 -1 4,0.8402809752503217
0.04303436,5 0 5,0.8820288159711503
0.012733595,5 3 7,1.0458428467940015
0.0016354398,5 4 8,1.1415247675885782
0.003383982,5 6 9,1.295143296854947
0.0048294705,5 7 10,1.4092452820625399
0.0012575537,6 -9 -1,1.2880301872583089
0.0052316017,6 -5 2,1.0451655316112802
0.0015374018,6 -4 3,1.0222895143737145
0.0117522,6 -1 5,1.0149827957412392
0.045232356,6 0 6,1.0584345791653804
0.0017647143,6 3 8,1.213457467254584
0.0054684663,6 4 9,1.3038257274460963
0.005530221,6 6 10,1.4465375081587863
0.005191669,7 -10 -1,1.4631566334439805
0.023304157,7 -9 0,1.3914848527464128
0.0015302277,7 -5 3,1.193378869833457
0.008115189,7 -4 4,1.1811219063168674
0.0031443222,7 -1 6,1.1901873888216297
0.0044110953,7 0 7,1.2348403423596104
0.0048044384,7 2 8,1.3060779282454458
0.0017860634,7 3 9,1.383260198248296
0.0009628959,7 4 10,1.4693815864705821
0.00084531936,8 -9 1,1.5085345253367632
0.00081134005,8 -6 3,1.36645186623158
0.008000206,8 -5 4,1.3483965485115819
0.00012196141,8 -4 5,1.3443437248490484
0.00034300832,8 -2 6,1.3329548314340427
0.0037222404,8 -1 7,1.3657012674614002
0.0007033828,8 0 8,1.4112461055538403
0.0014080018,8 2 9,1.480140643507144
9.879677e-05,9 -6 4,1.518307559913523
0.0030969824,9 -5 5,1.5081218000172236
3.3019194e-05,9 -4 6,1.510532730554593
0.00042274198,9 -2 7,1.506455951154498
0.0003571126,9 -1 8,1.5414187847426724
